CIP_Occupation_Title,NSSBIC_Occupation_Title
Accounting & Computer Science  (New),"Communications, Entertainment, & Information"
Medical Office Computer Specialist/Assistant   (New),"Communications, Entertainment, & Information"
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Information Technology  (New),"Communications, Entertainment, & Information"
Computer Systems Analysis/Analyst,"Communications, Entertainment, & Information"
Web/Multimedia Management & Webmaster  (New),"Communications, Entertainment, & Information"
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Computer Systems Analysis/Analyst,"Communications, Entertainment, & Information"
Data Modeling/Warehousing and Database Administration  (New),"Communications, Entertainment, & Information"
Computer & Information Systems Security  (New),"Communications, Entertainment, & Information"
"Management Information Systems, General","Communications, Entertainment, & Information"
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Information Science/Studies,"Communications, Entertainment, & Information"
Computer Systems Analysis/Analyst,"Communications, Entertainment, & Information"
Computer Systems Networking & Telecommunications  (New),"Communications, Entertainment, & Information"
System Administration/Administrator  (New),"Communications, Entertainment, & Information"
"System, Networking, & LAN/WAN Management/Manager  (New)","Communications, Entertainment, & Information"
Computer & Information Systems Security  (New),"Communications, Entertainment, & Information"
"Computer & Information Sciences & Support Services, Other","Communications, Entertainment, & Information"
Computer & Information Systems Security  (New),Public Administration & Legal Services
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Information Technology  (New),"Communications, Entertainment, & Information"
Computer Systems Analysis/Analyst,"Communications, Entertainment, & Information"
Computer Systems Networking & Telecommunications  (New),"Communications, Entertainment, & Information"
Computer & Information Systems Security  (New),"Communications, Entertainment, & Information"
Bioinformatics  (New),"Communications, Entertainment, & Information"
"Biomathematics and Bioinformatics, Other","Communications, Entertainment, & Information"
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Computer Science,"Communications, Entertainment, & Information"
Data Processing & Data Processing Technology/Technician,"Communications, Entertainment, & Information"
Information Science/Studies,"Communications, Entertainment, & Information"
"Computer & Information Sciences & Support Services, Other","Communications, Entertainment, & Information"
"Management Information Systems & Services, Other","Communications, Entertainment, & Information"
Actuarial Science,Finance & Insurance
"Mathematics, General",Scientific & Technical Services
Algebra & Number Theory  (New),Scientific & Technical Services
Analysis & Functional Analysis  (New),Scientific & Technical Services
Geometry/Geometric Analysis  (New),Scientific & Technical Services
Topology & Foundations  (New),Scientific & Technical Services
"Mathematics, Other  (New)",Scientific & Technical Services
Applied Mathematics,Scientific & Technical Services
Computational Mathematics  (New),Scientific & Technical Services
"Applied Mathematics, Other",Scientific & Technical Services
Mathematical Statistics & Probability  (New),Scientific & Technical Services
"Mathematics & Statistics, Other",Scientific & Technical Services
Logic (New),Scientific & Technical Services
Operations Research,Business & Administrative Services
"Management Science, General",Business & Administrative Services
"Management Sciences & Quantitative Methods, Other",Business & Administrative Services
Biostatistics,Business & Administrative Services
"Mathematics, General",Business & Administrative Services
Applied Mathematics,Business & Administrative Services
"Statistics, General",Business & Administrative Services
Mathematical Statistics & Probability  (New),Business & Administrative Services
"Statistics, Other  (New)",Business & Administrative Services
Business Statistics,Business & Administrative Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Applied Mathematics,Scientific & Technical Services
"Mathematics, General",Scientific & Technical Services
Applied Mathematics,Scientific & Technical Services
Computational Mathematics  (New),Scientific & Technical Services
"Applied Mathematics, Other",Scientific & Technical Services
"Mathematics & Statistics, Other",Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Architectural History & Criticism  (New),Scientific & Technical Services
"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)",Scientific & Technical Services
Environmental Design/Architecture,Scientific & Technical Services
"Architecture & Related Programs, Other",Scientific & Technical Services
Environmental Design/Architecture,Scientific & Technical Services
"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)",Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Surveying Technology/Surveying,Scientific & Technical Services
Cartography,Scientific & Technical Services
Surveying Technology/Surveying,Scientific & Technical Services
"Aerospace, Aeronautical & Astronautical Engineering",Scientific & Technical Services
Agricultural/Biological Engineering & Bioengineering,Scientific & Technical Services
Biomedical/Medical Engineering,Scientific & Technical Services
Chemical Engineering,Scientific & Technical Services
"Civil Engineering, General",Scientific & Technical Services
Transportation & Highway Engineering,Scientific & Technical Services
Water Resources Engineering,Scientific & Technical Services
"Civil Engineering, Other",Scientific & Technical Services
"Computer Engineering, General",Scientific & Technical Services
Computer Hardware Engineering  (New),Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
"Electrical, Electronics & Communications Engineering",Scientific & Technical Services
"Electrical, Electronics & Communications Engineering",Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
Industrial Engineering  (New),Scientific & Technical Services
Naval Architecture & Marine Engineering,Scientific & Technical Services
Naval Architecture & Marine Engineering,Scientific & Technical Services
Naval Architecture & Marine Engineering,Scientific & Technical Services
Ceramic Sciences & Engineering,Scientific & Technical Services
